Dish Name,Image url,State,Cuisine,Preparation Time,Description,Diet,Ingredient
Chana Sundal,https://i0.wp.com/www.chitrasfoodbook.com/wp-content/uploads/2019/09/masala-sundal.jpg?resize=500%2C641&ssl=1,Tamil Nadu,South Indian,20 mins,Stir-fried chickpeas with coconut and mustard seasoning,Vegan,Chickpeas Coconut Mustard Seeds Curry Leaves Chili
Dahi Puri,https://ministryofcurry.com/wp-content/uploads/2022/07/Dahi-Puri_-4-1.jpg,Maharashtra,Street Food,15 mins,Puffed puris filled with curd,chutneys,"and sev, Vegetarian, Puri, Curd, Tamarind Chutney, Potato, Sev"
Aloo Bharta,https://www.veganricha.com/wp-content/uploads/2015/07/aloo-bharta-Indian-mashed-potato-9361.jpg,Bihar,Eastern Indian,10 mins,Mashed potato with mustard oil and spices,Vegan,"Potato, Mustard Oil, Onion, Green Chili, Salt"
Moong Dal Cheela,https://www.indianveggiedelight.com/wp-content/uploads/2023/03/moong-dal-chilla.jpg,North India,Indian,25 mins,Savory crepes made from moong dal batter,Vegetarian,"Moong Dal, Ginger, Chili, Cumin, Salt"
Beetroot Poriyal,https://b2958125.smushcdn.com/2958125/wp-content/uploads/2014/11/Beetroot-poriyal-with-coconut-thoran-stir-fry-Vegan-south-indian-side-dish.jpg?lossy=1&strip=1&webp=1,Kerala,South Indian,20 mins,Simple stir-fried beetroot with coconut,Vegan,"Beetroot, Coconut, Mustard Seeds, Curry Leaves, Chili"
Vegetable Pulao,https://www.indianveggiedelight.com/wp-content/uploads/2022/10/veg-pulao.jpg,Pan India,Indian,30 mins,Fragrant rice cooked with vegetables and spices,Vegetarian,"Rice, Carrot, Beans, Peas, Spices"
Cucumber Raita,"https://assets.epicurious.com/photos/6672198b0c28d1076ae88cee/1:1/w_1920,c_limit/raita_RECIPE_061424_7375_VOG_final.jpg",Pan India,Side Dish,5 mins,Yogurt dip with chopped cucumber and spices,Vegetarian,"Curd, Cucumber, Cumin, Salt, Coriander"
Egg Curry,https://mytastycurry.com/wp-content/uploads/2021/07/South-Indian-Spicy-Egg-Curry.jpg,West Bengal,Bengali,30 mins,Hard-boiled eggs in a spiced tomato gravy,Non-Vegetarian,"Eggs, Onion, Tomato, Spices, Oil"
Corn Chaat,https://i0.wp.com/eatsbyramya.com/wp-content/uploads/2022/04/IMG_7128_jpg.jpg?resize=1024%2C1020&ssl=1,Delhi,Street Food,10 mins,Tangy snack made with boiled corn and lemon,Vegan,"Corn, Lemon, Onion, Chili Powder, Salt"
Lauki Kofta,https://www.vegrecipesofindia.com/wp-content/uploads/2013/04/lauki-kofta-curry-recipe.jpg,Uttar Pradesh,North Indian,40 mins,Bottle gourd dumplings in tomato gravy,Vegetarian,"Lauki, Besan, Tomato, Spices, Oil"
Tinda Masala,https://j6e2i8c9.delivery.rocketcdn.me/wp-content/uploads/2015/07/tinda_masala_recipe_4.jpg.webp,Punjab,North Indian,25 mins,Round gourd cooked in a tomato-spice base,Vegan,"Tinda, Onion, Tomato, Cumin, Turmeric"
Bhindi Fry,https://www.livingsmartandhealthy.com/wp-content/uploads/2023/09/recipe-for-bhindi-fry-1.jpg,Rajasthan,North Indian,20 mins,Crispy stir-fried okra with minimal spices,Vegan,"Bhindi, Oil, Turmeric, Chili Powder, Salt"
Palak Soup,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk5JMCH5o56BG0NJaNFDphUXUPbVuI7t2FMe17EUSaytYpjA_S03vkFsWAWvQT,Pan India,Indian,25 mins,Creamy spinach soup,light and nutritious,"Vegetarian, Spinach, Garlic, Onion, Cream, Salt"
Sweet Pongal,https://hebbarskitchen.com/wp-content/uploads/2025/01/Sweet-Pongal-Recipe-Temple-Style-Chakkara-Sakkarai-Pongal-1-1024x1536.jpeg.webp,Tamil Nadu,South Indian,30 mins,Sweet rice-lentil dish made with jaggery and ghee,Vegetarian,"Rice, Moong Dal, Jaggery, Ghee, Cardamom"
Kanda Poha,https://www.cookwithmanali.com/wp-content/uploads/2014/08/Poha-Recipe-1014x1536.jpg,Maharashtra,Breakfast,15 mins,Flattened rice with onion and spices,Vegan,"Poha, Onion, Mustard Seeds, Curry Leaves, Lemon"
Tomato Bath,https://rakskitchen.net/wp-content/uploads/2010/04/tomato-bath-karnataka.jpg,Karnataka,South Indian,25 mins,Tomato-flavored rice with spices and herbs,Vegan,"Rice, Tomato, Mustard Seeds, Chili, Curry Leaves"
Thepla,https://i0.wp.com/binjalsvegkitchen.com/wp-content/uploads/2015/01/Methi-Thepla-H1.jpg?fit=600%2C900&ssl=1,Gujarat,Gujarati,25 mins,Spiced flatbread made with fenugreek and flour,Vegetarian,"Wheat Flour, Methi Leaves, Turmeric, Chili, Yogurt"
Ghiya Raita,https://static.wixstatic.com/media/d0c9ff_6053578bf183412987e7ea0f90de30f1~mv2.jpg/v1/fill/w_768%2Ch_576%2Cal_c%2Cq_85/Lauki_Bottle%20Gourd%20Raita%20Final%202.jpg,Haryana,North Indian,10 mins,Curd-based dip with grated bottle gourd,Vegetarian,"Ghiya, Curd, Salt, Cumin, Coriander"
Anda Paratha,https://www.indianhealthyrecipes.com/wp-content/uploads/2024/06/egg-paratha-anda-paratha.jpg,North India,Indian,20 mins,Indian flatbread stuffed or layered with egg,Non-Vegetarian,"Wheat Flour, Egg, Onion, Green Chili, Spices"
